name,name_en,name_ar,tourism,amenity,shop,man_made,rooms,beds,addr_city,latitude,longitude
,,,information,,,,,,,30.3301489,35.4402326
البرج وادي عربه,,,information,,,,,,,30.5032607,35.3381096
,,,information,,,,,,,29.5205556,35.4233962
The South Tetraphylon,,,information,,,,,,,32.2792227,35.8915789
The North Theatre,,,information,,,,,,,32.2822563,35.8925472
Jordan echo tours,Jordan echo tours,Jordan echo tours,information,,,,,,,29.5306333,35.0018309
Dana nature reserve visitor's center,Dana Visitor's Center,,information,,,,,,,30.6974663,35.5798729
250kW Photovoltaic Power System,,,information,,,,,,,30.3242754,35.4675351
The Petra Park Map,,,information,,,,,,,30.3244588,35.4676722
,,,information,,,,,,,29.5293424,35.0028466
,,,information,,,,,,,30.3198716,35.4475041
,,,information,,,,,,,30.3193144,35.4473566
Welcome To Petra,,,information,,,,,,,30.3250586,35.4685845
The Petra Park Map,,,information,,,,,,,30.3244668,35.4677403
,,,information,,,,,,,30.3237383,35.4675494
Bab el-Siq,,,information,,,,,,,30.3217352,35.4633455
Petra Archeological Park,,,information,,,,,,,30.3218257,35.4612315
,,,information,,,,,,,30.3300558,35.4424176
,,,information,,,,,,,30.3289621,35.4451735
,,,information,,,,,,,30.3301426,35.4415669
,,,information,,,,,,,30.3301872,35.4422003
,,,information,,,,,,,30.3302475,35.4425395
,,,information,,,,,,,30.3303639,35.4427853
Wadi Mujib Tourist Information Center,,,information,,,,,,,31.4676824,35.5715571
,,,information,,,,,,,30.327845,35.4488149
timetable of bus to Jerash,,,information,,,,,,,31.9943499,35.9195977
Can't walk to the border from this road,,,information,,,,,,,29.5657285,34.9993827
The Petra Park Map,,,information,,,,,,,30.3244951,35.4679776
,,,information,,,,,,,31.7494127,35.5882687
The Oval Placa,,,information,,,,,,,32.2771007,35.8909191
The Cardo,,,information,,,,,,,32.2778717,35.8909037
The Sanctuary of Artemis,,,information,,,,,,,32.28172,35.8917788
The South Decumanus,,,information,,,,,,,32.2793939,35.89153
The North Gate and the North end of the Cardo,,,information,,,,,,,32.282701,35.8935789
Amman: a view towards the north,,,information,,,,,,,31.9565926,35.9336507
,,,information,,,,,,,31.8374428,35.5459393
RSCN Ajloun Reserve Information Office and reception,,,information,,,,,,,32.3802175,35.7635603
Visitor Center,,,information,,,,,,,31.8462666,35.5773872
RSCN Shaumari Wildlife Reserve,,,information,,,,,,,31.7521853,36.7561109
Dana Visitor Center,,,information,,,,,,,30.6743373,35.6082666
,,,information,,,,,,,31.9647141,35.9054948
The Hippodrome,,,information,,,,,,,32.2729753,35.8910998
High Place Petra View,,,information,,,,,,,30.3206352,35.4525525
School,,,information,,,,,,,29.575576,35.4193874
Wadi Rum Visitor Center,,,information,,,,,,,29.639233,35.434445
The Byzantine church,The Byzantine church,,information,,,,,,,31.954473,35.935303
The South Gate and the City Wall,,,information,,,,,,,32.2763405,35.891017
The Temple of Artemis,,,information,,,,,,,32.2816086,35.891121
The Umayyad Complex,The Umayyad Complex,,information,,,,,,,31.9553491,35.9344221
Site Rules,,,information,,,,,,,31.767666,35.7260587
The Brazen Serpent Monument,,,information,,,,,,,31.7682697,35.7253671
,,,information,,,,,,,30.3309626,35.4394923
,,,information,,,,,,,30.3345129,35.4390742
مكتبة ومكتب التذاكر مار جرجس,,مكتبة ومكتب التذاكر مار جرجس,information,,,,,,,31.7175534,35.7940136
,Tourist Information,,information,,,,,,,29.5287138,35.0021954
