year,arable_land_pct
2023,2.29745253057639
2022,2.28187940626619
2021,2.24339482397459
2020,2.31997657499381
2019,2.41908237043043
2018,2.26402342870016
2017,2.10633025456184
2016,2.6724487497184
2015,2.56701959900879
