year,exports_pct_gdp
2024,42.6120551194793
2023,43.5168833945194
2022,42.5374671563433
2021,29.958414256479
2020,23.899941960737
2019,36.3349404358171
2018,34.7991158378548
2017,34.3683691309957
2016,34.3952100655679
2015,36.5444370225267
