year,gdp_per_capita
2024,4618.09592498567
2023,4466.08314208575
2022,4332.25159897931
2021,4183.49998326866
2020,4022.0401356135
2019,4170.1144003465
2018,4145.43989673265
2017,4065.61628749384
2016,3986.71677010853
2015,4042.75678097555
